City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,hithadhoo,MV,84.42,broken clouds,-0.6,73.0833,Scoop Guest House
2,punta arenas,CL,39.11,scattered clouds,-53.15,-70.9167,Hotel Hain
4,rikitea,PF,76.77,scattered clouds,-23.1203,-134.9692,People ThankYou
5,petropavlovsk-kamchatskiy,RU,39.9,overcast clouds,53.0452,158.6483,The Hotel Petropavlovsky
6,tasiilaq,GL,35.76,overcast clouds,65.6145,-37.6368,The Red House
7,saint george,US,65.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
8,hobart,AU,45.01,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
9,vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
10,chicama,PE,67.77,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
11,port elizabeth,ZA,68.09,scattered clouds,-33.918,25.5701,39 On Nile Guest House
12,kapaa,US,73.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,merke,KZ,77.76,clear sky,42.8728,73.1786,Gostinitsa Merki
15,hermanus,ZA,69.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
16,iqaluit,CA,20.7,few clouds,63.7506,-68.5145,Frobisher Inn
17,ushuaia,AR,37.02,scattered clouds,-54.8,-68.3,Albatross Hotel
18,souillac,MU,77.11,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
23,venado tuerto,AR,62.76,overcast clouds,-33.7456,-61.9688,La Bianca.
24,jamestown,US,50.95,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
25,hendaye,FR,66.96,clear sky,43.3717,-1.7738,Parador de Hondarribia
28,narsaq,GL,39.99,overcast clouds,60.9167,-46.05,Sleep In Narsaq
29,yopal,CO,73.76,overcast clouds,5.3378,-72.3959,Hotel Camoruco
30,arraial do cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
32,alice springs,AU,45.95,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
34,mehamn,NO,29.86,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
35,east london,ZA,66.65,broken clouds,-33.0153,27.9116,Tu Casa
36,asfi,MA,76.44,clear sky,32.2994,-9.2372,Hôtel Abda
37,katsuura,JP,59.79,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
38,ladario,BR,78.89,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
40,yellowknife,CA,33.57,overcast clouds,62.456,-114.3525,The Explorer Hotel
41,road town,VG,82.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
42,turayf,SA,73.87,clear sky,31.6725,38.6637,Turaif
43,nikolskoye,RU,48.7,broken clouds,59.7035,30.7861,Tourist House - Sablino
45,bambous virieux,MU,79.21,few clouds,-20.3428,57.7575,Casa Tia Villa
46,qaanaaq,GL,23.59,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
48,sao felix do xingu,BR,82.4,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
49,puerto ayora,EC,72.81,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,cidreira,BR,66.49,clear sky,-30.1811,-50.2056,Hotel Castelo
51,codrington,AU,48.94,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
52,kodiak,US,42.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
56,saint-philippe,RE,81.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
57,vila franca do campo,PT,68.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
58,lagoa,PT,60.75,overcast clouds,39.05,-27.9833,Casa Das Faias
59,kruisfontein,ZA,65.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
60,eregli,TR,62.15,broken clouds,37.5133,34.0467,Hotel Fuat Bey
63,port alfred,ZA,67.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
64,flinders,AU,57.18,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
65,tallahassee,US,68.86,few clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
66,shache,CN,85.35,clear sky,38.4167,77.2406,Delong Hotel
67,onda,ES,76.05,overcast clouds,39.9667,-0.25,Motel Shhh
69,laredo,US,79.05,haze,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
70,la baule-escoublac,FR,71.71,few clouds,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
72,jalu,LY,89.26,clear sky,29.0331,21.5482,صاحبة الفخامة
74,shenjiamen,CN,61.25,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
75,avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
77,bredasdorp,ZA,64.45,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
78,denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
79,nelson bay,AU,55.99,clear sky,-32.7167,152.15,Mantra Nelson Bay
80,bac lieu,VN,83.08,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
81,college,US,37.58,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
82,bluff,NZ,50.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
83,norman wells,CA,33.85,overcast clouds,65.282,-126.8329,Heritage Hotel
86,honningsvag,NO,35.35,scattered clouds,70.9821,25.9704,Nordkapp Vandrerhjem
87,port blair,IN,84.0,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
88,sao joao do piaui,BR,88.61,broken clouds,-8.3581,-42.2467,Nayra Palace Hotel
89,dingle,PH,80.87,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
90,thompson,CA,52.75,overcast clouds,55.7435,-97.8558,Burntwood Hotel
