City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,atuona,PF,-9.8,-139.0333,77.45,80,24,15.73,light rain,0.42,0.0
1,hithadhoo,MV,-0.6,73.0833,84.42,76,69,18.9,broken clouds,0.0,0.0
2,punta arenas,CL,-53.15,-70.9167,39.11,80,34,27.02,scattered clouds,0.0,0.0
3,barrow,US,71.2906,-156.7887,19.42,86,75,9.22,broken clouds,0.0,0.0
4,rikitea,PF,-23.1203,-134.9692,76.77,79,28,19.51,scattered clouds,0.0,0.0
5,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,39.9,93,100,6.73,overcast clouds,0.0,0.0
6,tasiilaq,GL,65.6145,-37.6368,35.76,67,100,6.02,overcast clouds,0.0,0.0
7,saint george,US,37.1041,-113.5841,65.25,19,0,4.61,clear sky,0.0,0.0
8,hobart,AU,-42.8794,147.3294,45.01,85,0,0.0,clear sky,0.0,0.0
9,vaini,TO,-21.2,-175.2,73.56,88,20,10.36,few clouds,0.0,0.0
10,chicama,PE,-7.8447,-79.1469,67.77,83,100,6.33,overcast clouds,0.0,0.0
11,port elizabeth,ZA,-33.918,25.5701,68.09,65,38,7.0,scattered clouds,0.0,0.0
12,kapaa,US,22.0752,-159.319,73.72,86,75,13.8,broken clouds,0.0,0.0
13,upernavik,GL,72.7868,-56.1549,16.48,67,59,4.72,broken clouds,0.0,0.0
14,merke,KZ,42.8728,73.1786,77.76,56,1,3.58,clear sky,0.0,0.0
15,hermanus,ZA,-34.4187,19.2345,69.8,59,99,4.94,overcast clouds,0.0,0.0
16,iqaluit,CA,63.7506,-68.5145,20.7,79,12,3.0,few clouds,0.0,0.0
17,ushuaia,AR,-54.8,-68.3,37.02,92,26,4.41,scattered clouds,0.0,0.0
18,souillac,MU,-20.5167,57.5167,77.11,79,26,10.85,scattered clouds,0.0,0.0
19,adrar,MR,20.5022,-10.0711,102.92,7,14,13.33,few clouds,0.0,0.0
20,klaksvik,FO,62.2266,-6.589,49.12,98,100,20.04,light rain,0.17,0.0
21,mabama,TZ,-5.1333,32.5333,84.79,38,100,5.23,overcast clouds,0.0,0.0
22,albany,US,42.6001,-73.9662,52.34,42,35,1.99,scattered clouds,0.0,0.0
23,venado tuerto,AR,-33.7456,-61.9688,62.76,69,97,14.0,overcast clouds,0.0,0.0
24,jamestown,US,42.097,-79.2353,50.95,46,0,5.75,clear sky,0.0,0.0
25,hendaye,FR,43.3717,-1.7738,66.96,72,0,8.05,clear sky,0.0,0.0
26,moba,CN,33.2288,105.0179,51.06,87,100,7.18,moderate rain,1.15,0.0
27,yibin,CN,28.7667,104.6238,81.57,63,100,3.02,light rain,0.21,0.0
28,narsaq,GL,60.9167,-46.05,39.99,74,100,3.89,overcast clouds,0.0,0.0
29,yopal,CO,5.3378,-72.3959,73.76,88,87,0.72,overcast clouds,0.0,0.0
30,arraial do cabo,BR,-22.9661,-42.0278,73.26,83,75,11.5,broken clouds,0.0,0.0
31,georgetown,MY,5.4112,100.3354,87.73,70,20,10.36,moderate rain,3.16,0.0
32,alice springs,AU,-23.7,133.8833,45.95,46,100,0.0,overcast clouds,0.0,0.0
33,longyearbyen,SJ,78.2186,15.6401,17.44,57,40,13.8,scattered clouds,0.0,0.0
34,mehamn,NO,71.0357,27.8492,29.86,94,100,10.51,light snow,0.0,0.12
